date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:49	459075/459075	---M-Z	200	added ('OK')	text/html	date:Thu,%2022%20Aug%202024%2009:46:15%20GMT	https://zurichdental.ch/	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/index.html	(from )
13:50:50	156/156	---M-Z	200	added ('OK')	text/plain	date:Thu,%2022%20Aug%202024%2011:50:51%20GMT	https://zurichdental.ch/robots.txt		(from )
13:50:50	1467/1467	---M--	200	added ('OK')	image/png	etag:%225f7c6e14-5bb%22	https://zurichdental.ch/wp-content/uploads/2017/10/zurichDental_Bildlogo.png	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/uploads/2017/10/zurichDental_Bildlogo.png	(from https://zurichdental.ch/)
13:50:50	2331/2331	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30855-91b%22	https://zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcher.css?ver=1721960533	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/translatepress-multilingual/assets/css/trp-language-switcherac2d.css	(from https://zurichdental.ch/)
13:50:50	5108/5108	---MCZ	200	added ('OK')	text/css	etag:W/%2266560216-13f4%22	https://zurichdental.ch/wp-content/themes/hello-elementor/theme.min.css?ver=3.0.2	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/themes/hello-elementor/theme.min5b75.css	(from https://zurichdental.ch/)
13:50:50	10281/10281	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30855-2829%22	https://zurichdental.ch/wp-content/cache/min/1/wp-content/themes/zurichdental/style.css?ver=1721960533	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/cache/min/1/wp-content/themes/zurichdental/styleac2d.css	(from https://zurichdental.ch/)
13:50:51	5756/5756	---MCZ	200	added ('OK')	text/css	etag:W/%2266560216-167c%22	https://zurichdental.ch/wp-content/themes/hello-elementor/style.min.css?ver=3.0.2	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/themes/hello-elementor/style.min5b75.css	(from https://zurichdental.ch/)
13:50:51	7325/7325	---MCZ	200	added ('OK')	text/css	etag:W/%2266560216-1c9d%22	https://zurichdental.ch/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.0.2	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/themes/hello-elementor/header-footer.min5b75.css	(from https://zurichdental.ch/)
13:50:51	20215/20215	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30855-4ef7%22	https://zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=1721960533	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minac2d.css	(from https://zurichdental.ch/)
13:50:51	266921/266921	---MCZ	200	added ('OK')	text/css	etag:W/%2266b0da12-412a9%22	https://zurichdental.ch/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.23.4	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/plugins/elementor/assets/css/frontend.mind5d5.css	(from https://zurichdental.ch/)
13:50:51	16223/16223	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30855-3f5f%22	https://zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=1721960533	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.minac2d.css	(from https://zurichdental.ch/)
13:50:52	5299/5299	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30854-14b3%22	https://zurichdental.ch/wp-content/uploads/elementor/css/post-8336.css?ver=1721960532	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/uploads/elementor/css/post-8336ebde.css	(from https://zurichdental.ch/)
13:50:52	470844/470844	---MCZ	200	added ('OK')	text/css	etag:W/%2266b18344-72f3c%22	https://zurichdental.ch/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.23.3	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/plugins/elementor-pro/assets/css/frontend.min28fc.css	(from https://zurichdental.ch/)
13:50:52	136490/136490	---MCZ	200	added ('OK')	text/css	etag:W/%22665db0ee-2152a%22	https://zurichdental.ch/wp-content/plugins/wpforms-lead-forms/assets/css/front.min.css?ver=1.5.0	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/plugins/wpforms-lead-forms/assets/css/front.min91ce.css	(from https://zurichdental.ch/)
13:50:52	5410/5410	---MCZ	200	added ('OK')	text/css	etag:W/%2266a30855-1522%22	https://zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor-extras/assets/lib/nicons/css/nicons.css?ver=1721960533	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/cache/min/1/wp-content/plugins/elementor-extras/assets/lib/nicons/css/niconsac2d.css	(from https://zurichdental.ch/)
13:50:53	205584/205584	---MCZ	200	added ('OK')	text/css	etag:W/%22665dbbe1-32310%22	https://zurichdental.ch/wp-content/plugins/elementor-extras/assets/css/frontend.min.css?ver=2.2.52	C:/Users/bre/Desktop/projekt/zurichdental.ch/zurichdental.ch/wp-content/plugins/elementor-extras/assets/css/frontend.mind988.css	(from https://zurichdental.ch/)
